person_id	positive	negative	stats	gameplay	physical	status	contract	nationality
marte-001sta	3	1	1	1	2	1	1	0
matz--001ste	4	2	2	0	1	1	0	0
mccann002jam	3	2	4	0	0	1	0	0
mccutc001and	2	1	4	0	2	1	0	0
mcneil000jef	2	2	4	0	2	0	0	0
miley-001wad	5	1	3	0	0	1	0	0
moncad000joh	5	1	0	2	0	0	0	2
morel-000chr	1	1	3	2	3	0	0	0
morton001cha	5	1	2	0	1	1	0	0
nimmo-000bra	1	3	4	0	2	0	0	0
otani-000sho	4	0	2	0	0	1	1	2
ozuna-002mar	3	1	4	0	0	0	1	1
paddac000chr	4	2	3	0	0	1	0	0
peders001joc	5	1	2	0	2	0	0	0
perez-001sal	1	2	4	1	1	1	0	0
pham--001tho	2	0	6	0	1	0	1	0
pillar000kev	3	1	5	0	1	0	0	0
pivett000nic	1	1	6	2	0	0	0	0
polanc001jor	1	0	8	0	0	1	0	0
pomera001tho	3	3	3	0	0	1	0	0
profar001jur	3	0	3	0	3	0	0	1
quinta001jos	3	1	3	0	1	1	1	0
reynol000bry	3	0	4	0	2	0	1	0
riley-000aus	2	0	7	0	0	0	0	1
robert009dav	5	0	2	0	1	1	1	0
rodon-000car	1	0	2	0	1	2	4	0
rodrig006edu	1	2	4	0	1	2	0	0
rosari000ame	4	0	5	0	1	0	0	0
sale--001chr	1	2	2	3	0	2	0	0
sanche001gar	1	1	6	0	2	0	0	0
santan001car	2	0	6	0	1	1	0	0
scherz001max	3	1	2	2	2	0	0	0
schwar001kyl	3	0	5	0	2	0	0	0
semien001mar	5	0	2	1	0	0	1	1
severi000lui	1	3	1	0	1	4	0	0
shaw--000mat	3	0	3	1	3	0	0	0
smith-000dom	1	5	3	0	1	0	0	0
snell-000bla	3	1	2	1	2	0	1	0
soler-000jor	2	0	5	0	1	0	1	1
soroka000mic	2	1	3	0	0	3	0	1
soto--003jua	5	0	2	1	0	0	2	0
spring001geo	4	0	4	0	2	0	0	0
stanto003mic	0	1	4	0	2	3	0	0
steele000jus	2	1	3	1	1	2	0	0
story-000tre	4	1	3	0	0	0	2	0
stroma001mar	2	1	3	0	1	1	1	1
suarez001eug	3	1	5	0	0	0	0	1
suzuki001sei	2	1	3	1	1	0	0	2
swanso001dan	5	1	2	1	0	0	0	1
taillo001jam	3	1	4	0	1	1	0	0
torres000gle	2	0	1	0	6	0	1	0
trout-001mik	7	0	3	0	0	0	0	0
tucker001kyl	1	1	8	0	0	0	0	0
valdez005fra	4	1	4	0	1	0	0	0
vazque001chr	1	0	5	0	2	1	1	0
verlan001jus	3	0	2	1	1	2	1	0
wacha-001mic	1	4	4	0	1	0	0	0
walker001tai	3	0	5	0	1	1	0	0
wallne000mat	1	1	6	1	1	0	0	0
wheele001zac	5	1	2	1	1	0	0	0
yelich001chr	3	1	5	0	1	0	0	0
